rank,category,name,full_name,description,stars,confidence,signal_agreement,metadata_conf,dependency_conf,readme_conf,html_url,selected,notes
1,1A_2A,adapters,adapter-hub/adapters,A Unified Library for Parameter-Efficient and Modular Transfer Learning ,2758,1.0,0.833,1.0,1.0,1.0,https://github.com/adapter-hub/adapters,Yes,
2,1A_2A,OpenRLHF,OpenRLHF/OpenRLHF,"An Easy-to-use, Scalable and High-performance RLHF Framework based on Ray (PPO & GRPO & REINFORCE++ & vLLM & Ray & Dynamic Sampling & Async Agentic RL)",7730,0.869,1.0,0.7,0.857,1.0,https://github.com/OpenRLHF/OpenRLHF,Yes,
3,1A_2A,safe-rlhf,PKU-Alignment/safe-rlhf,Safe RLHF: Constrained Value Alignment via Safe Reinforcement Learning from Human Feedback,1519,0.857,1.0,1.0,0.714,1.0,https://github.com/PKU-Alignment/safe-rlhf,Yes,
4,1A_2A,oumi,oumi-ai/oumi,"Easily fine-tune, evaluate and deploy gpt-oss, Qwen3, DeepSeek-R1, or any open source LLM / VLM!",8427,0.849,1.0,0.6,0.857,1.0,https://github.com/oumi-ai/oumi,Yes,
5,1A_2A,unsloth,unslothai/unsloth,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train OpenAI gpt-oss, Qwen3, Llama 4, DeepSeek-R1, Gemma 3, TTS 2x faster with 70% less VRAM.",44568,0.837,1.0,0.9,0.714,1.0,https://github.com/unslothai/unsloth,Yes,
6,1A_2A,LLaMA-Factory,hiyouga/LLaMA-Factory,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),56631,0.786,1.0,1.0,0.571,1.0,https://github.com/hiyouga/LLaMA-Factory,Yes,
7,1A_2A,refiners,finegrain-ai/refiners,A microframework on top of PyTorch with first-class citizen APIs for foundation model adaptation,835,0.714,1.0,1.0,0.429,1.0,https://github.com/finegrain-ai/refiners,Yes,
8,1A_2A,SLAM-LLM,X-LANCE/SLAM-LLM,"Speech, Language, Audio, Music Processing with Large Language Model",875,0.706,1.0,0.3,0.714,0.963,https://github.com/X-LANCE/SLAM-LLM,Yes,
9,1A_2A,EasyDeL,erfanzar/EasyDeL,"Accelerate, Optimize performance with streamlined training and serving options with JAX.",301,0.646,1.0,0.3,0.571,1.0,https://github.com/erfanzar/EasyDeL,Yes,
10,1A_2A,OSWorld,xlang-ai/OSWorld,[NeurIPS 2024] OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,2099,0.624,0.5,0.6,0.571,0.726,https://github.com/xlang-ai/OSWorld,Yes,
11,1A_2A,mlx-vlm,Blaizzy/mlx-vlm,MLX-VLM is a package for inference and fine-tuning of Vision Language Models (VLMs) on your Mac using MLX.,1596,0.61,0.833,0.3,0.5,1.0,https://github.com/Blaizzy/mlx-vlm,Yes,
12,1A_2A,terratorch,IBM/terratorch,A Python toolkit for fine-tuning Geospatial Foundation Models (GFMs).,551,0.594,1.0,0.4,0.429,1.0,https://github.com/IBM/terratorch,Yes,
13,1A_2A,Speech-AI-Forge,lenML/Speech-AI-Forge,"🍦 Speech-AI-Forge is a project developed around TTS generation model, implementing an API Server and a Gradio-based WebUI.",1334,0.585,0.667,0.3,0.714,0.561,https://github.com/lenML/Speech-AI-Forge,Yes,
14,1A_2A,LLMBox,RUCAIBox/LLMBox,"A comprehensive library for implementing LLMs, including a unified training pipeline and comprehensive model evaluation.",835,0.579,0.833,0.2,0.5,0.963,https://github.com/RUCAIBox/LLMBox,Yes,
15,1A_2A,Ovis,AIDC-AI/Ovis,"A novel Multimodal Large Language Model (MLLM) architecture, designed to structurally align visual and textual embeddings.",1238,0.578,0.833,0.2,0.571,0.841,https://github.com/AIDC-AI/Ovis,Yes,
16,1A_2A,nncf,openvinotoolkit/nncf,Neural Network Compression Framework for enhanced OpenVINO™ inference,1073,0.563,1.0,0.6,0.286,1.0,https://github.com/openvinotoolkit/nncf,Yes,
17,1A_2A,DeepSpeed,deepspeedai/DeepSpeed,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",39842,0.543,1.0,0.5,0.286,1.0,https://github.com/deepspeedai/DeepSpeed,Yes,
18,1A_2A,instructlab,instructlab/instructlab,InstructLab Core package.  Use this to chat with a model and execute the InstructLab workflow to train a model using custom taxonomy data.,1344,0.537,0.667,0.2,0.714,0.466,https://github.com/instructlab/instructlab,Yes,
19,1A_2A,training_extensions,open-edge-platform/training_extensions,"Train, Evaluate, Optimize, Deploy Computer Vision Models via OpenVINO™",1199,0.527,0.833,0.3,0.333,1.0,https://github.com/open-edge-platform/training_extensions,Yes,
20,1A_2A,Liger-Kernel,linkedin/Liger-Kernel,Efficient Triton Kernels for LLM Training,5557,0.523,1.0,0.4,0.286,1.0,https://github.com/linkedin/Liger-Kernel,Yes,
1,1A_2B,gpustack,gpustack/gpustack,"Simple, scalable AI model deployment on GPU clusters",3397,0.813,1.0,0.9,0.667,1.0,https://github.com/gpustack/gpustack,Yes,
2,1A_2B,TensorRT-Model-Optimizer,NVIDIA/TensorRT-Model-Optimizer,"A unified library of state-of-the-art model optimization techniques like quantization, pruning, distillation, speculative decoding, etc. It compresses deep learning models for downstream deployment frameworks like TensorRT-LLM or TensorRT to optimize inference speed.",1139,0.757,0.833,0.5,0.714,1.0,https://github.com/NVIDIA/TensorRT-Model-Optimizer,Yes,
3,1A_2B,LightLLM,ModelTC/LightLLM,"LightLLM is a Python-based LLM (Large Language Model) inference and serving framework, notable for its lightweight design, easy scalability, and high-speed performance.",3538,0.753,1.0,0.6,0.667,1.0,https://github.com/ModelTC/LightLLM,Yes,
