id,name,full_name,description,html_url,stargazers_count,forks_count,created_at,pushed_at,language,size,open_issues_count,topics,contributor_count,commit_count_estimate,age_days,days_since_push,quality_score,discovery_query,discovery_order,layer_1,layer_2,category,selected,notes
620936652,gpt4free,xtekky/gpt4free,"The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5",https://github.com/xtekky/gpt4free,64996,13690,2023-03-29T17:00:43Z,2025-08-23T16:24:30Z,Python,169504,10,"['chatbot', 'chatbots', 'chatgpt', 'chatgpt-4', 'chatgpt-api', 'chatgpt-free', 'chatgpt4', 'deepseek', 'deepseek-api', 'deepseek-r1', 'gpt', 'gpt-4', 'gpt-4o', 'gpt4', 'gpt4-api', 'language-model', 'openai', 'openai-api', 'openai-chatgpt', 'reverse-engineering']",30,30,877,-1,20.05,openai language:Python stars:>=100 pushed:>=2022-11-01,24,,,,,
38696925,python-telegram-bot,python-telegram-bot/python-telegram-bot,We have made you a wrapper you can't refuse,https://github.com/python-telegram-bot/python-telegram-bot,28053,5811,2015-07-07T15:30:39Z,2025-08-22T18:11:05Z,Python,18272,27,"['bot', 'chatbot', 'framework', 'python', 'telegram']",30,30,3700,0,20.0,chatbot language:Python stars:>=100 pushed:>=2022-11-01,27,,,,,
290091948,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",https://github.com/labmlai/annotated_deep_learning_paper_implementations,62696,6359,2020-08-25T02:29:34Z,2025-08-21T07:04:16Z,Python,154373,26,"['attention', 'deep-learning', 'deep-learning-tutorial', 'gan', 'literate-programming', 'lora', 'machine-learning', 'neural-networks', 'optimizers', 'pytorch', 'reinforcement-learning', 'transformer', 'transformers']",30,30,1824,2,19.9,transformers language:Python stars:>=100 pushed:>=2022-11-01,4,,,,,
571186647,pathway,pathwaycom/pathway,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",https://github.com/pathwaycom/pathway,31893,916,2022-11-27T13:01:14Z,2025-08-23T03:35:37Z,Python,137811,46,"['batch-processing', 'data-analytics', 'data-pipelines', 'data-processing', 'dataflow', 'etl', 'etl-framework', 'iot-analytics', 'kafka', 'machine-learning-algorithms', 'pathway', 'python', 'real-time', 'rust', 'stream-processing', 'streaming', 'time-series-analysis']",28,30,1000,0,19.8,llm language:Python stars:>=100 pushed:>=2022-11-01,1,,,,,
629749002,OpenLLM,bentoml/OpenLLM,"Run any open-source LLMs, such as DeepSeek and Llama, as OpenAI compatible API endpoint in the cloud.",https://github.com/bentoml/OpenLLM,11709,762,2023-04-19T00:27:52Z,2025-08-18T16:52:16Z,Python,43053,7,"['bentoml', 'fine-tuning', 'llama', 'llama2', 'llama3-1', 'llama3-2', 'llama3-2-vision', 'llm', 'llm-inference', 'llm-ops', 'llm-serving', 'llmops', 'mistral', 'mlops', 'model-inference', 'open-source-llm', 'openllm', 'vicuna']",30,30,857,4,19.8,llm language:Python stars:>=100 pushed:>=2022-11-01,1,,,,,
793375104,awesome-llm-apps,Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",https://github.com/Shubhamsaboo/awesome-llm-apps,61587,7454,2024-04-29T05:30:25Z,2025-08-18T02:24:57Z,Python,190386,10,"['llms', 'python', 'rag']",30,30,481,5,19.75,llm language:Python stars:>=100 pushed:>=2022-11-01,1,,,,,
631258918,pandas-ai,sinaptik-ai/pandas-ai,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG.",https://github.com/sinaptik-ai/pandas-ai,21873,2129,2023-04-22T12:58:01Z,2025-08-13T12:59:44Z,Python,57450,21,"['ai', 'csv', 'data', 'data-analysis', 'data-science', 'data-visualization', 'database', 'datalake', 'gpt-4', 'llm', 'pandas', 'sql', 'text-to-sql']",30,30,854,10,19.5,llm language:Python stars:>=100 pushed:>=2022-11-01,1,,,,,
749126547,Scrapegraph-ai,ScrapeGraphAI/Scrapegraph-ai,Python scraper based on AI,https://github.com/ScrapeGraphAI/Scrapegraph-ai,21110,1794,2024-01-27T16:54:38Z,2025-08-13T09:50:52Z,Python,14637,11,"['ai', 'ai-scraping', 'automated-scraper', 'crawler', 'html-to-markdown', 'llm', 'markdown', 'rag', 'scraping', 'scraping-python', 'web-crawler', 'web-crawlers', 'web-scraping']",30,30,573,10,19.5,llm language:Python stars:>=100 pushed:>=2022-11-01,1,,,,,
540842713,buzz,chidiwilliams/buzz,Buzz transcribes and translates audio offline on your personal computer. Powered by OpenAI's Whisper.,https://github.com/chidiwilliams/buzz,15092,1125,2022-09-24T13:43:23Z,2025-08-23T15:40:00Z,Python,42906,24,['whisper'],24,30,1064,0,19.4,openai language:Python stars:>=100 pushed:>=2022-11-01,24,,,,,
674075444,Qwen,QwenLM/Qwen,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.,https://github.com/QwenLM/Qwen,19120,1586,2023-08-03T04:56:38Z,2025-08-05T10:12:21Z,Python,37333,25,"['chinese', 'flash-attention', 'large-language-models', 'llm', 'natural-language-processing', 'pretrained-models']",30,30,751,18,19.1,llm language:Python stars:>=100 pushed:>=2022-11-01,1,,,,,
